content_asli,teks_bersih,score,sentimen,at,panjang_asli,panjang_bersih,thumbsUpCount
produk penjualan bagus dan murah,produk jual bagus murah,5,Positif,2026-05-15 11:16:50,5,4,0
👍👍👍👍 biaya ongkir gratis.,biaya ongkos kirim gratis,5,Positif,2026-05-15 11:16:08,4,4,0
sangat bermanfaat dan gak pernah tipu tipu,sangat manfaat tidak pernah tipu tipu,5,Positif,2026-05-15 11:14:38,7,6,0
"Bagus sih applikasinya,,tp aku pakai yg shopee lite lebih simple,,dn gk makan memori hp,,cm sayang buat video unboxiing gk bisa tuh di lite,,jd klw beli barang mahal harus download yg memori besar ini,,,,",bagus applikasinya pakai lite lebih simple dn tidak makan memori hp cm sayang buat video unboxiing tidak tuh lite jd klw beli barang mahal download memori besar,5,Positif,2026-05-15 11:14:23,33,27,0
josss,josss,5,Positif,2026-05-15 11:14:12,1,1,0
shopee mantab,mantab,5,Positif,2026-05-15 11:13:06,2,1,0
terimakasih shopee sangat membantu untuk pembelian barang,terimakasih sangat bantu beli barang,5,Positif,2026-05-15 11:11:43,7,5,0
puas sekali memakai aplikasi ini ...mau blnja apa saja tersedia disini,puas sekali pakai mau blnja apa sedia sini,5,Positif,2026-05-15 11:11:20,11,8,0
"brand applikasi ini tidak memiliki loyalitas terhadap pihak pengirim (tim distribusi nya) di AI cuman bisa menyampaikan ke pihak distribusi untuk mengirimkan lebih cepat tapi malah aku tunggu lumayan lama, padahal aku butuh nya hari ini juga secara langsung!",brand applikasi tidak milik loyalitas pihak kirim tim distribusi ai cuman sampai pihak distribusi kirim lebih cepat malah tunggu lumayan lama padahal butuh hari langsung,2,Negatif,2026-05-15 11:10:07,39,25,0
"sering saya uninstall karena terbuka sendiri,saya buka aplikasi lain tiba-tiba shopee terbuka sendiri...",sering uninstall buka sendiri buka tiba tiba buka sendiri,2,Negatif,2026-05-15 11:10:03,13,9,0
layanan.nya baik,layan baik,5,Positif,2026-05-15 11:09:27,2,2,0
app ny sangat bagus,ny sangat bagus,5,Positif,2026-05-15 11:06:04,4,3,0
suka belanja,suka belanja,5,Positif,2026-05-15 11:05:07,2,2,0
apk nya ngeleg banget,ngeleg banget,1,Negatif,2026-05-15 11:04:42,4,2,0
"hai perbaiki aplikasimu biar ga gampang lag dan buffering. ini bukan masalah HP atau Internet, tapi dari Aplikasimu yang butut dan ngelag parahhhh",hai baik aplikasi biar tidak gampang lag buffering bukan masalah hp internet aplikasi butut ngelag parahhhh,5,Positif,2026-05-15 11:04:05,23,16,0
aplikasi ini sangat amat amanah,sangat amanah,5,Positif,2026-05-15 11:04:02,5,2,0
Emang the best,memang the best,5,Positif,2026-05-15 11:03:10,3,3,0
mudah dan senang sekali,mudah senang sekali,5,Positif,2026-05-15 11:02:44,4,3,0
gabisa login,gabisa login,1,Negatif,2026-05-15 11:02:43,2,2,0
aplikasi kontoll,kontoll,1,Negatif,2026-05-15 11:01:45,2,1,0
sesuai orderan dan amanah,sesuai order amanah,5,Positif,2026-05-15 11:00:56,4,3,0
"kurir dan logistik sangat amatiran sangat mengecewakan, pengiriman bandung jakarta bisa sampai milyaran tahun cahaya sampai barang tiba, CS dan SPX sangat buruk dalam pelayanan ke konsumen syngnya apk kurang berguna shopee ini",kurir logistik sangat amatir sangat kecewa kirim bandung jakarta milyaran tahun cahaya barang tiba cs spx sangat buruk layan konsumen syngnya kurang guna,1,Negatif,2026-05-15 10:59:32,33,23,0
"bukan sekedar aplikasi belanja, tapi aplikasi yang sangat membantu ku mencari cuan,,, sukses terus shopee",bukan dar belanja sangat bantu cari cuan sukses terus,5,Positif,2026-05-15 10:58:24,15,9,0
cocok beli beli,cocok beli beli,5,Positif,2026-05-15 10:58:15,3,3,0
Kok di harganya misalnya 59 kok jadi 100 ribu aplikasi bohong,kok harga misal kok jadi ribu bohong,1,Negatif,2026-05-15 10:57:26,11,7,0
"sangat membatu sekali dalam berbelanja barang pesanan,dll..👍👍",sangat batu sekali belanja barang pesan,5,Positif,2026-05-15 10:57:06,7,6,0
"SPX SALAH TEMPEL RESI, BARANG JUALAN SAYA 350RB HILANG, TIDAK BISA KEMBALI. CUMA DIGANTI BIAYA IKLAN 10RB OLEH SHOPEE!!! BUAT SELLER HATI², SHOPEE MELEGALKAN PENCURIAN, BUKANNYA MENDISKUSIKAN DULU LEPORAN BUYER DENGAN SELLER, EH MALAH LANGSUNG DISETUJUI. AKHIRNYA SAYA GABISA MINTA BALIK BARAMG KE BUYER. BAYANGKAN KALAU YANG HILANG ITU LAPTOP PULUHAN JUTA, MENDING SELLER HATI²",spx salah tempel resi barang jual rb hilang tidak cuma ganti biaya iklan rb buat seller hati legal curi bukan diskusi dulu leporan buyer seller eh malah langsung tuju akhir gabisa minta balik baramg buyer bayang kalau hilang laptop puluh juta mending seller hati,1,Negatif,2026-05-15 10:56:00,55,44,1
aplikasi terbaik di banding lainnya sebelumnya saya sudah mencoba aplikasi lainnya tapi shopee is the best 👍👍👍👍👍 jempolnya 5 yang satu dapet pinjem 🥰,baik banding lain belum coba lain is the best jempol satu pinjem,5,Positif,2026-05-15 10:54:08,24,12,0
"tidak puas dengan pengirimannya,termasuk kurir",tidak puas kirim masuk kurir,1,Negatif,2026-05-15 10:47:01,5,5,0
sangat bagus dan belanja puas👍👍👍👍👍🤙🤙🤙🤙,sangat bagus belanja puas,5,Positif,2026-05-15 10:45:33,5,4,0
"menjual barang bagus tapi ada yang kurang yaitu update an nya dulu estimasi tiba nya 3 hari / 2 hari sekarang jadi 4-5 hari jadi harus nunggu lama, pelayanan kurir nya juga ramah dan bagus tidak membohongi orang lain atau pun meng akali anak kecil yang berbelanja online trimakasih 🙏🏻",jual barang bagus kurang update an dulu estimasi tiba hari hari sekarang jadi hari jadi nunggu lama layan kurir ramah bagus tidak bohong orang meng akal anak kecil belanja online trimakasih,4,Positif,2026-05-15 10:43:29,50,31,0
Oke,,3,Netral,2026-05-15 10:42:36,1,0,0
"untuk kesekian kali belanja di Shopee memang pernah kecewa, tapi lebih sering/banyak puasnya. tingkatkan pelayanan, sukses selalu untuk Shopee😊❤️",sekian kali belanja memang pernah kecewa lebih sering banyak puas tingkat layan sukses selalu,5,Positif,2026-05-15 10:41:44,19,14,0
makin suka belanja disni,makin suka belanja disni,5,Positif,2026-05-15 10:40:24,4,4,0
aplikasi sangat membantu,sangat bantu,5,Positif,2026-05-15 10:40:16,3,2,0
semua yang saya pesan sesuai pesanan terima kasih kepada shopee,semua pesan sesuai pesan terima kasih,5,Positif,2026-05-15 10:39:21,10,6,0
bagus dan informatif,bagus informatif,5,Positif,2026-05-15 10:35:16,3,2,0
"berat banget app nya, baru dibuka udah ngelag, login aja susah",berat banget baru buka ngelag login susah,3,Netral,2026-05-15 10:34:18,11,7,0
mantap.. selalu tepat kirimannya.. yg salah lgsg di return,bagus selalu tepat kirim salah lgsg return,5,Positif,2026-05-15 10:33:06,9,7,0
lebih tingkatkan kenyamanan kastamer/pemesan,lebih tingkat nyaman kastamer mes,5,Positif,2026-05-15 10:32:24,4,5,0
baru baru ini akun saya di-hack orang Alhamdulillah bisa saya perbaikin tolong keamanan diperbaikin LG agar lebih aman,baru baru akun hack orang alhamdulillah perbaikin aman diperbaikin lg lebih aman,5,Positif,2026-05-15 10:29:34,18,12,0
belanjan online jadi praktis,belanjan online jadi praktis,5,Positif,2026-05-15 10:29:07,4,4,0
bisa gak kalau baru masuk aplikasi jangan auto masuk k toko live jualan,tidak kalau baru masuk jangan auto masuk toko live jual,2,Negatif,2026-05-15 10:25:27,13,10,0
"free ongkir, dan bisa COD",free ongkos kirim bayar tempat,5,Positif,2026-05-15 10:24:40,5,5,0
"Barang Original,Sesuai pesanan,Pengiriman cepat.",barang original sesuai pesan kirim cepat,5,Positif,2026-05-15 10:21:33,4,6,0
"paket terlalu lambat,kurir nya pada lelet.sdh 2 hari paket ditunda2 gk dikirim2.jga gk ada wa tertulis atau tlp dri kurirnya ini gmn shoopexspress.shooopeexpres kok makin lelet dlm pengiriman.gk kyak jnt sangat satset",paket terlalu lambat kurir lambat hari paket tunda tidak kirim jga tidak wa tulis tlp kurir gmn shoopexspress shooopeexpres kok makin lambat dlm kirim tidak kyak jnt sangat satset,2,Negatif,2026-05-15 10:19:46,32,29,0
"Senang belanja di shopee dpt hrg lbh murah,mudah pengembalian brg & dana,banyak pilihan barang nya,sayang d aplikasi saya tdk diijinkan mengunakan VIP,saya berharap selanjutnya bisa langganan VIP harapan saya",senang belanja harga lebih murah mudah kembali barang dana banyak pilih barang sayang tdk diijinkan mengunakan vip harap lanjut langgan vip harap,5,Positif,2026-05-15 10:18:14,29,22,0
Mantap banget kak,bagus banget kak,5,Positif,2026-05-15 10:17:31,3,3,0
ok..👍👍👍,,5,Positif,2026-05-15 10:15:22,1,0,4
"sopee memang terbaik untuk kekurangan bahan bahan yang sudah habis,rusak dll",sopee memang baik kurang bahan bahan habis rusak,5,Positif,2026-05-15 10:14:33,11,8,0
Shopee Selalu okey! moga sukses komitmen shopeee 👍👍,selalu okey moga sukses komitmen shopeee,5,Positif,2026-05-15 10:13:57,8,6,0
"shopee ga berpihak kepembeli, pembeli hanya dibuat rugi",tidak pihak bel beli buat rugi,1,Negatif,2026-05-15 10:13:00,8,6,0
"Sangat baik dalam pemesanan barang-barang yang saya butuhkan. Terima kasih Shopee, semoga jadi lebih baik lagi dalam semua fitur dan pelayanannya.",sangat baik mesan barang barang butuh terima kasih moga jadi lebih baik semua fitur layan,5,Positif,2026-05-15 10:07:38,21,15,0
belanja di Shopee 👍,belanja,5,Positif,2026-05-15 10:07:05,4,1,0
sistem pengiriman yang terlambat tidak sesuai dengan estimasi tiba lalu paket di batalkan oleh kurir tampa pemberitahuan kepada kami sebagai pembeli,sistem kirim lambat tidak sesuai estimasi tiba lalu paket batal kurir tampa pemberitahuan beli,1,Negatif,2026-05-15 10:04:53,21,14,0
sangat terbantu belanja apa saja ada,sangat bantu belanja apa,5,Positif,2026-05-15 10:04:51,6,4,0
jadi kecanduan belanja lewat apk shoppee..mantap..😁😁,jadi candu belanja lewat shoppee bagus,5,Positif,2026-05-15 10:01:25,6,6,0
kadang ngelag,kadang ngelag,4,Positif,2026-05-15 10:00:27,2,2,0
"expedisi spx buruk , sering keterlambatan , pernah barang hilang tidak ada konfirm dan saya sebagai pembeli secara tidak langsung harus tanggung jawab sama barangnya . krna ada transaksi di luar shopee , duit sya hilang . emang apk buruk . amanah banyak penjual penipu tidak ada regulasi ketat tapi kalau mungutin duit penjual no 1",expedisi spx buruk sering lambat pernah barang hilang tidak konfirm beli tidak langsung tanggung jawab sama barang transaksi luar duit sya hilang memang buruk amanah banyak jual tipu tidak regulasi ketat kalau mungutin duit jual no,1,Negatif,2026-05-15 10:00:05,56,36,1
"barang dan jasa pengiriman sesuai pesanan dan jadwal pengiriman, bagus.",barang jasa kirim sesuai pesan jadwal kirim bagus,5,Positif,2026-05-15 09:59:30,10,8,0
puas pelayanannya telat waktu,puas layan telat waktu,5,Positif,2026-05-15 09:55:22,4,4,0
mudah digunakan pelayanan bagus.....,mudah guna layan bagus,5,Positif,2026-05-15 09:52:10,4,4,0
"blnja di shopee sih msh sebagian besar amanah jualan nya. tp syg ekspedisi spx nya sering mengecewakan kdg pkt ada 5 yg nyampe hnya 2 atw 3 sisanya ngk nyampe krna prosedur pngntrn ribet, kita juga kan ngak sllu mantau hp utk lihat chat masuk sdgkn kdg pkt dtg lbh awal kdg telat bngt. masa iya pngntrnnya mksml 1x aja ngak ada di hari brktnya.",blnja msh bagi besar amanah jual syg ekspedisi spx sering kecewa kdg pkt nyampe hnya atw sisa ngk nyampe prosedur pngntrn ribet kan ngak sllu mantau hp lihat chat masuk sdgkn kdg pkt dtg lebih awal kdg telat banget masa pngntrnnya mksml ngak hari brktnya,1,Negatif,2026-05-15 09:48:55,65,45,11
aplikasi apa ni kalo kita retur barang alamat kitaa tidak tersedia lagi,apa ni kalau retur barang alamat kitaa tidak sedia,2,Negatif,2026-05-15 09:48:25,12,9,0
intinya sempurna,inti sempurna,5,Positif,2026-05-15 09:47:44,2,2,0
sangattt membantu dan aplikasinya seruuu,sangattt bantu aplikasi seruuu,5,Positif,2026-05-15 09:46:56,5,4,0
"aplikasi nya bagus bngt terus barangnya murah-murah, aku kasih bintang 5 karna bagus",bagus banget terus barang murah murah kasih bintang bagus,5,Positif,2026-05-15 09:46:09,13,9,0
tolong lindungi akun shopy ku,lindung akun shopy,1,Negatif,2026-05-15 09:45:29,5,3,0
pelayanannya sangat baik,layan sangat baik,5,Positif,2026-05-15 09:45:23,3,3,0
fitur ter lemot,fitur ter lambat,1,Negatif,2026-05-15 09:45:05,3,3,0
"tingkatkan pelayanan, dan mudahkan prosses pembatalan, saat ingin mengganti produc",tingkat layan mudah prosses batal ganti produc,5,Positif,2026-05-15 09:44:22,10,7,0
suka banget belanja d shopi bnyak promo dan gratis ongkir,suka banget belanja shopi bnyak promo gratis ongkos kirim,5,Positif,2026-05-15 09:42:55,10,9,0
bagus sllu tepat waktu dan lancar sukses buat Shopee,bagus sllu tepat waktu lancar sukses buat,5,Positif,2026-05-15 09:42:27,9,7,0
"kalian sangat buruk dlam pelayanan. kalian tdk periksa dulu barang yg mau di kirim sebelum sampai ke orang yg pesan. sesuai tdk ni data barangnya sama barang nya yg mau di kirim gunanya apa kalian data, gunanya apa kalian di bayar ongkos kirimnyakakw masi sering dtang barang yg tdk sesuai.",kalian sangat buruk dlam layan kalian tdk periksa dulu barang mau kirim orang pesan sesuai tdk ni data barang sama barang mau kirim guna apa kalian data guna apa kalian bayar ongkos kirimnyakakw mas sering dtang barang tdk sesuai,1,Negatif,2026-05-15 09:42:23,50,39,1
"padahal ini pertama kali ny sy pesan lewat shopee, tp sdh di buat kecewa, barang yg sy terima rusak & penjual menjanjikan konpensasi sy di suruh nunggu 7hari, tp ini sdh hampir 1bulan & sy blm mendapatkan konpensasi yg di janjikan.",padahal pertama kali ny pesan lewat buat kecewa barang terima rusak jual janji konpensasi suruh nunggu hari hampir bulan belum dapat konpensasi janji,1,Negatif,2026-05-15 09:42:09,41,23,0
bila pesanan belum diterima tanggal tertentu akan ada voucher 10.000 itu bohong,bila pesan belum terima tanggal tentu voucher bohong,1,Negatif,2026-05-15 09:40:58,12,8,0
"kacau !! 3 bulan spaylater di bekukkan , kalo 1 minggu mungkin saya masih maklumin , ini dah 3 bulan gak ada perubahan , telat bayar gak pernah , bahkan 1 minggu sebelum jatuh tempo sudah di bayar , sungguh mengecewakan , maaf saya kasih * 1 , karna gak ada kebijakan yg terselesaikan , semua prosudur sudah di jalani , sampai laporan , email sudah , tp gak ada perubahan , sedikitpun , dan sekarang harus menunggu lagi sampai tgl 18 mei , begitu terus dari awal maret sampai hari ini ,",kacau bulan spaylater bekuk kalau minggu mungkin maklumin dah bulan tidak ubah telat bayar tidak pernah bahkan minggu jatuh tempo bayar sungguh kecewa maaf kasih tidak bijak selesai semua prosudur jalan lapor email tidak ubah sedikit sekarang tunggu tgl mei terus awal maret hari,1,Negatif,2026-05-15 09:39:20,93,44,0
kenapa Shopee saya sekarang gk bisa COD nya,sekarang tidak bayar tempat,5,Positif,2026-05-15 09:37:56,8,4,0
"semakin oke dalam berbelanja, semakin banyak racun shopee.. hihihihihi..",makin belanja makin banyak racun hihihihihi,5,Positif,2026-05-15 09:36:23,9,6,1
no comen ajah kayanya 😍,no comen ajah kaya,5,Positif,2026-05-15 09:35:53,5,4,0
gak bikin ngelek,tidak bikin ngelek,5,Positif,2026-05-15 09:35:34,3,3,0
tidak ada pengalaman,tidak alam,5,Positif,2026-05-15 09:32:12,3,2,0
shopeee kerennnnn,shopeee kerennnnn,5,Positif,2026-05-15 09:29:58,2,2,0
"Satu satunya aplikasi terpercaya, dengan tidak banyak drama",satu satu percaya tidak banyak drama,5,Positif,2026-05-15 09:29:53,8,6,0
good respond cepat,good respond cepat,5,Positif,2026-05-15 09:29:39,3,3,0
aplikasi kalo pengin diskon gede tp di suruh ngutang😂 harusnya yg di utamakan diskon yg non COD ya😆 bukan yg nyicil,kalau pengin diskon gede suruh ngutang harus utama diskon non bayar tempat bukan nyicil,3,Netral,2026-05-15 09:26:53,21,14,0
ini kok knp suara bocor dari laapk lain. menganggu skali,kok knp suara bocor laapk menganggu skali,3,Netral,2026-05-15 09:26:08,10,7,0
Gak bisa memverifikasi no handphone,tidak verifikasi no handphone,2,Negatif,2026-05-15 09:24:16,5,4,0
"kalau aplikasi nya sih bagus""aja, kadang toko nya lah yg bikin kecewa itu",kalau bagus kadang toko bikin kecewa,5,Positif,2026-05-15 09:22:07,13,6,0
banyak promo menyenangkan bikin menarik pengguna /pembeli jadi lebih membandingkan dengan e-commerce lain,banyak promo senang bikin tarik guna beli jadi lebih banding commerce,5,Positif,2026-05-15 09:17:06,13,11,0
suka,suka,5,Positif,2026-05-15 09:14:41,1,1,0
"iklan lo ganggu banget, gada iklan juga tetep masuk ke ni aplikasi. jelek banget dah",iklan lo ganggu banget gada iklan tetep masuk ni buruk banget dah,2,Negatif,2026-05-15 09:12:55,15,12,0
"shopee keren mau belanja apa aja ada barang murah2,,,,👍👍👍👍",keren mau belanja apa barang murah,5,Positif,2026-05-15 09:12:23,9,6,0
Bagus Terimakasih.,bagus terimakasih,5,Positif,2026-05-15 09:11:21,2,2,0
kak mau minta tlng gimana cara bayar spaylater kalau akun ya dan no whatsap ganti soalnya ini jatah bayar spaylater,kak mau minta tlng gimana cara bayar spaylater kalau akun no whatsap ganti soal jatah bayar spaylater,4,Positif,2026-05-15 09:10:33,20,17,0
ini iklan tolol banget setiap gw buka web kaya link mesti ada iklan gblk ini benci banget gw sama iklan aneh ini,iklan tolol banget gw buka web kaya link mesti iklan gblk benci banget gw sama iklan aneh,1,Negatif,2026-05-15 09:10:14,22,17,0
"kok untuk jasa kirim nya lama lama kurang tepat waktu kalau ada event, tidak puas dengan layanan shopee sekarang",kok jasa kirim lama lama kurang tepat waktu kalau event tidak puas layan sekarang,1,Negatif,2026-05-15 09:09:31,19,14,0
"sekarang shopy byk toko tipu2,,,setelah cekout toko lngsung gada...parahhhh",sekarang shopy byk toko tipu cekout toko lngsung gada parahhhh,3,Netral,2026-05-15 09:08:09,9,10,0
"langganan VIP makin gak ada promo, cuma promo ongkir aja, langganan VIP cuma bagus di awal aja, setelahnya rugi...",langgan vip makin tidak promo cuma promo ongkos kirim langgan vip cuma bagus awal telah rugi,1,Negatif,2026-05-15 09:07:40,19,16,0
Saya sangat kecewa BANGET PIHAK SHOPEEY KENAPA TIDAK MENYERTAKAN NAMA KURIR SPX DAN NO TLP KURIR PADA STATUS PENGIRIMANNYA..!!! KARENA KURIR SPX TEMPAT SAYA SERING BARANG DIBAWA DARI PAGI SAMPE MALEM DITUNGGUIN SEHARIAN GAK DIANTARKAN....PAYAH,sangat kecewa banget pihak shopeey tidak serta nama kurir spx no tlp kurir status kirim kurir spx tempat sering barang bawa pagi sampe malem ditungguin hari tidak antar payah,1,Negatif,2026-05-15 09:07:34,35,29,2
kak napa gk bisa transaksi,kak napa tidak transaksi,1,Negatif,2026-05-15 09:05:42,5,4,0
"Aplikasnya sdh bagus, cuma perlu pembenahan SOP distribusinya shg tdk muter2 yg seharusnya sdh smpe tp hrs kirim ke DC Pusat dahulu. Contoh kami pesan produk di daerah kota domisili tempat tinggal (Tangerang) , namun harus muter dl ke kota lain ( Jakarta Utara) butuh wkt 40 km ntr balik lg kirim ke arah kota tujuan pengiriman.",aplikasnya bagus cuma perlu benah sop distribusi shg tdk muter smpe kirim dc pusat contoh pesan produk daerah kota domisili tempat tinggal tangerang muter dl kota jakarta utara butuh wkt km ntr balik lg kirim arah kota tuju kirim,5,Positif,2026-05-15 09:05:32,57,39,0
aplikasi jelek iklan nya kepencet Mulu mending mari aj lu,buruk iklan pencet mulu mending aj lu,1,Negatif,2026-05-15 09:05:08,10,7,0
gila masih blm ada perbaikan lemotnya minta ampun,gila belum baik lot minta ampun,1,Negatif,2026-05-15 09:04:50,8,6,2
byk diskon,byk diskon,5,Positif,2026-05-15 08:59:07,2,2,0
proses belanja maupun pengembalian cepat dan lancar,proses belanja maupun kembali cepat lancar,5,Positif,2026-05-15 08:57:29,7,6,0
"setelah di update malah nambah ngelag, terus gak bisa scroll2 video live kadang putus2 ,kadang macet,",update malah nambah ngelag terus tidak scroll video live kadang putus kadang macet,1,Negatif,2026-05-15 08:56:17,16,13,0
"semenjak sekarang sudah tidak pernah tepat waktu sudah seminggu paket belum sampai padahal rumah saya tidak di daerah terpencil masih di pulau jawa kenapa lama sekali, 2 hari paket belum ada tanda kabarnya entah kemana tolong dong...",semenjak sekarang tidak pernah tepat waktu minggu paket belum padahal rumah tidak daerah pencil pulau jawa lama sekali hari paket belum tanda kabar entah,1,Negatif,2026-05-15 08:55:08,37,24,0
sangat bermanfaat bagi masyarakat luas dalam bentuk apapun pekerjaannya,sangat manfaat masyarakat luas bentuk apa kerja,5,Positif,2026-05-15 08:55:01,9,7,0
EXPEDISI TERBURUK SE INDONESIA YA SPX.... PENGIRIMAN REGULER AJA 6 HARI.... SEDANGKAN EXPEDISI LAIN MENTOK 4-5 HARI....NAJIS PAKE EXPEDISI KALIAN LAGI ...PALING LELET SE-INDONESIA.....👎👎👎👎👎,expedisi buruk se indonesia spx kirim reguler hari expedisi mentok hari najis pake expedisi kalian paling lambat se indonesia,1,Negatif,2026-05-15 08:53:25,24,19,0
bagus sekali dan mudah,bagus sekali mudah,5,Positif,2026-05-15 08:51:59,4,3,0
senang bisa paylater...,senang paylater,5,Positif,2026-05-15 08:50:22,3,2,0
"aplikasi ini memiliki program loyalitas,,,",milik program loyalitas,5,Positif,2026-05-15 08:49:29,5,3,0
okeh,okeh,5,Positif,2026-05-15 08:49:16,1,1,0
Baik,baik,5,Positif,2026-05-15 08:48:20,1,1,0
shopeepay lupa pin...dimintai otp gak respon.! sampe gak bisa dibuka,shopeepay lupa pin minta otp tidak respon sampe tidak buka,1,Negatif,2026-05-15 08:45:05,10,10,0
"woy itu potongan turunin cik, ngerugiin seller banget lu, potongan lu gak ngotak bjir, tiap tahun atau bulan naik Mulu hadeh.",woy potong turunin cik ngerugiin seller banget lu potong lu tidak ngotak bjir tiap tahun bulan naik mulu hadeh,1,Negatif,2026-05-15 08:43:24,21,19,0
"belanja puas dan murah,dapat juga mencari penghasilan tambahan",belanja puas murah cari hasil tambah,5,Positif,2026-05-15 08:43:01,8,6,0
"tolong buat Shopee, tindak lanjuti SPX mustika jaya bekasi. kurirnya pd males2 bgt!!!!! paket sy ada 4 paket, dari tgl 3 Mei smpe skrg tgl 15 Mei blm sampe2. mereka tulis keterangan ""pembeli menjadwalkan ulang"". itu penipuan sekali!!!! mereka bahkan tidak ada konfirmasi ke sy dan belum datang samasekali ke alamat sy!!! tolong ditindak lanjuti!!! kl bisa pecat kurir yg pd males2 itu!!!! merugikan customer sekali!!! ini barang2 penting bgt. buat operasional kantor!!!!",buat tindak lanjut spx mustika jaya bekas kurir males banget paket paket tgl mei smpe sekarang tgl mei belum sampe tulis terang beli jadwal ulang tipu sekali bahkan tidak konfirmasi belum datang samasekali alamat tindak lanjut kalau pecat kurir males rugi customer sekali barang penting banget buat operasional kantor,1,Negatif,2026-05-15 08:33:31,73,49,0
pokoknya no ribet,pokok no ribet,5,Positif,2026-05-15 08:31:57,3,3,0
bermanfaat,manfaat,5,Positif,2026-05-15 08:28:47,1,1,0
"aplikasi sangat berguna untuk belanja atau cek barang, harga ditambah diskon serta gratis ongkir",sangat guna belanja cek barang harga tambah diskon gratis ongkos kirim,5,Positif,2026-05-15 08:22:09,14,11,0
bagus👌👍,bagus,5,Positif,2026-05-15 08:19:06,1,1,0
"terlalu sering update, jd males sama aplikasi Kya gini",terlalu sering update jd males sama kya gin,1,Negatif,2026-05-15 08:17:36,9,8,0
mantabbb,mantabbb,5,Positif,2026-05-15 08:17:33,1,1,0
apk aneh selalu ngeleg kalo di buka pengiriman juga selalu di bikin telat,aneh selalu ngeleg kalau buka kirim selalu bikin telat,1,Negatif,2026-05-15 08:17:07,13,9,0
"kembaliin uang aku anjir, bayar pake qr ga keverifikasi trss udh laporan ke cs berhari hari malah di tandai laporan slesaii smntra saldo aku ga balik",kembaliin uang anjir bayar pake qr tidak verifikasi trss lapor cs hari hari malah tanda lapor slesaii smntra saldo tidak balik,1,Negatif,2026-05-15 08:16:56,26,21,0
suka belanja di shope selain harga murah jg gratis ongkir minesnya estimasinya lama,suka belanja harga murah gratis ongkos kirim mes estimasi lama,5,Positif,2026-05-15 08:15:10,13,10,0
mantaaaaaaf,mantaaaaaaf,5,Positif,2026-05-15 08:12:23,1,1,0
"bintang 1 karena jika memesan bahan seperti LCD atau hp akan rusak jika dipesan di apk ini, GK tau karna kurirnya atau karna shoppe",bintang mes bahan lcd hp rusak pes tidak tau kurir,1,Negatif,2026-05-15 08:11:43,24,10,0
"pengiriman lama, paket dari padang lokasi sama sama sumatera malah dikirim kejawa dulu gajls emng. biar apa kek gitu woi org butuh paketnya, dilama lamain",kirim lama paket padang lokasi sama sama sumatera malah kirim kejawa dulu gajls emng biar apa kek gitu woi org butuh paket lama lamain,1,Negatif,2026-05-15 08:11:32,25,24,0
"shopee tolong diperbaiki lagi, jangan suka tiba2 muncul pdhal ga mencet apa2. aku lagi asik2 baca novel di salah satu app tiba2 pindah ke shopee, pdhal ga kepencet apa pun. dan itu sering bgt, ganggu bgt. tolong lah yg wajar2 aja.",baik jangan suka tiba muncul pdhal tidak mencet apa asik baca novel salah satu tiba pindah pdhal tidak pencet apa sering banget ganggu banget wajar,3,Netral,2026-05-15 08:10:24,41,25,0
sukaaaa bgtttttt,sukaaaa bgtttttt,5,Positif,2026-05-15 08:07:20,2,2,0
ok bgt,banget,5,Positif,2026-05-15 08:05:57,2,1,0
sangan membantu dan mempermudah kita belanja ... mksih shopee,sangan bantu mudah belanja mksih,5,Positif,2026-05-15 08:03:29,9,5,0
ada yang pernah tertunda sampai 4/5 kali gak 🗿,pernah tunda kali tidak,1,Negatif,2026-05-15 08:01:13,9,4,0
"Alhamdulillah datang sesuai pesanan dari warna dan ukuran, semoga awet dipake. terimakasih seller semoga ttp amanah dlm melayani customer 🙏",alhamdulillah datang sesuai pesan warna ukur moga awet dipake terimakasih seller moga ttp amanah dlm layan customer,5,Positif,2026-05-15 08:00:58,20,17,0
saran mungkin bisa peringkat yang diraih paling tinggi tidak usah diturunin.,saran mungkin peringkat raih paling tinggi tidak usah diturunin,5,Positif,2026-05-15 07:58:13,11,9,0
apknya sangat bagus dan bermanfaat. tapi produk didalamnya banyak yang palsu.,apknya sangat bagus manfaat produk dalam banyak palsu,1,Negatif,2026-05-15 07:57:55,11,8,0
Maaf sebelumnya buat ulasan kasar saya. Sekarang kendala iklan pas main game sudah aman. Terima kasih tim Shopee sudah merespon,maaf belum buat ulas kasar sekarang kendala iklan pas main game aman terima kasih tim merespon,5,Positif,2026-05-15 07:51:32,20,16,1
🙏🥺sistem pembayaran cod saya gx bisa😔☕ padahal pihak shopee yang selalu membatalkan pesananku😔 aku mah nungguin pesananku😔 taunya di batalin😔,sistem bayar bayar tempat gx padahal pihak selalu batal pesan mah nungguin pesan tau batalin,5,Positif,2026-05-15 07:45:23,20,15,0
sungguh bagus,sungguh bagus,5,Positif,2026-05-15 07:45:11,2,2,0
"woyy shopee kalo narok iklan jgn di semua tempat,bikin ribet aja..mana urusin aja itu penjual,yg jualan nya bnyak gak jelas.unistal aja dehh biar aman.",woyy kalau narok iklan jgn semua tempat bikin ribet mana urusin jual jual bnyak tidak jelas unistal dehh biar aman,1,Negatif,2026-05-15 07:44:00,24,20,0
